id,name,city,state,price_per_night,hotel_type,rating,latitude,longitude,budget_category,nearby_area,popularity_score
H001,Sea Crest Residency,Goa,Goa,2200,budget,4.2,15.5528,73.7540,low,Baga,76
H002,Calangute Bay Stay,Goa,Goa,3200,standard,4.4,15.5448,73.7564,moderate,Calangute,81
H003,Anjuna Palm Retreat,Goa,Goa,4100,boutique,4.5,15.5783,73.7395,moderate,Anjuna,84
H004,Vagator Cliff Resort,Goa,Goa,6200,resort,4.6,15.5994,73.7351,high,Vagator,88
H005,Old Goa Heritage Inn,Goa,Goa,3500,boutique,4.3,15.5013,73.9114,moderate,Old Goa,74
H006,Aguada Seaview Hotel,Goa,Goa,7800,premium,4.7,15.4935,73.7687,high,Fort Aguada,90
H007,Palolem Shoreline Huts,Goa,Goa,2800,budget,4.3,15.0102,74.0236,low,Palolem,79
H008,Colva Sands Resort,Goa,Goa,4700,resort,4.4,15.2801,73.9237,moderate,Colva,80
H009,Panaji Riverfront Suites,Goa,Goa,5600,premium,4.5,15.4920,73.8286,high,Panaji,83
H010,Johari Courtyard Stay,Jaipur,Rajasthan,2400,budget,4.2,26.9234,75.8262,low,Johari Bazaar,77
H011,Pink City Heritage House,Jaipur,Rajasthan,3600,boutique,4.4,26.9251,75.8242,moderate,City Palace,84
H012,Hawa Mahal View Inn,Jaipur,Rajasthan,4200,standard,4.4,26.9242,75.8269,moderate,Hawa Mahal,82
H013,Amber Fort Residency,Jaipur,Rajasthan,5100,standard,4.5,26.9849,75.8506,moderate,Amber Fort Road,80
H014,Nahargarh Ridge Retreat,Jaipur,Rajasthan,6800,resort,4.6,26.9372,75.8159,high,Nahargarh Foothills,86
H015,Royal Haveli Jaipur,Jaipur,Rajasthan,8200,premium,4.7,26.9261,75.8235,high,Old City,91
H016,Albert Hall Garden Hotel,Jaipur,Rajasthan,3300,standard,4.3,26.9126,75.8201,moderate,Ram Niwas Garden,75
H017,Patrika Urban Stay,Jaipur,Rajasthan,2900,budget,4.1,26.8513,75.8052,low,Jawahar Circle,70
H018,Jaigarh Palace Resort,Jaipur,Rajasthan,9500,luxury,4.8,26.9854,75.8497,premium,Jaigarh Hills,89
H019,Lake Pichola View Stay,Udaipur,Rajasthan,3400,standard,4.4,24.5759,73.6813,moderate,Lake Pichola,84
H020,Old City Haveli Udaipur,Udaipur,Rajasthan,3900,boutique,4.5,24.5790,73.6833,moderate,Gangaur Ghat,86
H021,City Palace Residency,Udaipur,Rajasthan,5200,standard,4.5,24.5769,73.6838,moderate,City Palace Area,83
H022,Fateh Sagar Lakefront Hotel,Udaipur,Rajasthan,6100,premium,4.6,24.6018,73.6780,high,Fateh Sagar,87
H023,Monsoon Palace Hills Resort,Udaipur,Rajasthan,7800,resort,4.6,24.5929,73.6676,high,Sajjangarh Road,85
H024,Saheli Garden Suites,Udaipur,Rajasthan,4300,boutique,4.4,24.6010,73.6866,moderate,Saheliyon Ki Bari,78
H025,Shilpgram Retreat,Udaipur,Rajasthan,3000,budget,4.2,24.6223,73.6843,low,Shilpgram,71
H026,Royal Lake Palace View,Udaipur,Rajasthan,9800,luxury,4.8,24.5760,73.6805,premium,Lake Pichola,92
H027,Karni Mata Heights,Udaipur,Rajasthan,4700,standard,4.3,24.5717,73.6909,moderate,Doodh Talai,74
H028,Chandni Chowk Heritage Stay,Delhi,Delhi,2600,budget,4.1,28.6509,77.2306,low,Chandni Chowk,76
H029,Red Fort Residency,Delhi,Delhi,4100,standard,4.3,28.6560,77.2407,moderate,Red Fort Area,79
H030,Connaught Place Central Hotel,Delhi,Delhi,5900,premium,4.5,28.6317,77.2165,high,Connaught Place,88
H031,Lutyens Garden Suites,Delhi,Delhi,7200,boutique,4.6,28.6128,77.2291,high,India Gate,85
H032,South Delhi Comfort Inn,Delhi,Delhi,3400,standard,4.2,28.5539,77.2592,moderate,Kalkaji,73
H033,Qutub Heritage Hotel,Delhi,Delhi,4600,boutique,4.4,28.5247,77.1859,moderate,Mehrauli,80
H034,Akshardham Family Stay,Delhi,Delhi,3800,standard,4.3,28.6128,77.2776,moderate,Akshardham,77
H035,Lodhi Garden Boutique House,Delhi,Delhi,6400,boutique,4.5,28.5932,77.2200,high,Lodhi Road,82
H036,Imperial Capital Grand,Delhi,Delhi,11000,luxury,4.8,28.6298,77.2199,premium,Central Delhi,91
H037,Triveni Riverside Lodge,Rishikesh,Uttarakhand,2100,budget,4.2,30.1087,78.2951,low,Triveni Ghat,79
H038,Ram Jhula Retreat,Rishikesh,Uttarakhand,3200,standard,4.4,30.1214,78.3212,moderate,Ram Jhula,84
H039,Lakshman Jhula View Stay,Rishikesh,Uttarakhand,3600,boutique,4.4,30.1323,78.3306,moderate,Lakshman Jhula,83
H040,Parmarth Wellness Ashram Stay,Rishikesh,Uttarakhand,2900,standard,4.5,30.1273,78.3299,low,Swarg Ashram,81
H041,Ganga Cliff Resort,Rishikesh,Uttarakhand,5400,resort,4.6,30.1439,78.3328,high,Neer Garh Road,86
H042,Beatles Forest Retreat,Rishikesh,Uttarakhand,4300,boutique,4.3,30.1173,78.3259,moderate,Tapovan,75
H043,Shivpuri Rapids Camp,Rishikesh,Uttarakhand,3900,resort,4.5,30.1208,78.3999,moderate,Shivpuri,88
H044,Kunjapuri Sunrise Lodge,Rishikesh,Uttarakhand,4700,standard,4.4,30.1242,78.3639,moderate,Kunjapuri Road,74
H045,Himalayan Serene Resort,Rishikesh,Uttarakhand,8200,luxury,4.7,30.1301,78.3318,premium,Tapovan Heights,89
H046,Cedar Grove Stay,Manali,Himachal Pradesh,2300,budget,4.2,32.2394,77.1885,low,Mall Road,76
H047,Old Manali Pine Lodge,Manali,Himachal Pradesh,3200,boutique,4.4,32.2441,77.1889,moderate,Old Manali,82
H048,Hadimba Forest Retreat,Manali,Himachal Pradesh,4100,standard,4.4,32.2433,77.1898,moderate,Hadimba Road,80
H049,Solang Valley Camp and Stay,Manali,Himachal Pradesh,5200,resort,4.5,32.3174,77.1562,moderate,Solang Valley,86
H050,Vashisht Wellness Inn,Manali,Himachal Pradesh,3600,standard,4.3,32.2528,77.1876,moderate,Vashisht,74
H051,Rohtang View Resort,Manali,Himachal Pradesh,6900,resort,4.6,32.2680,77.1814,high,Nehru Kund Road,85
H052,Manu Temple Boutique House,Manali,Himachal Pradesh,4500,boutique,4.5,32.2462,77.1884,moderate,Old Manali Heights,78
H053,Himalayan Crown Manali,Manali,Himachal Pradesh,7900,premium,4.7,32.2401,77.1890,high,Central Manali,88
H054,Peakline Grand Resort,Manali,Himachal Pradesh,9800,luxury,4.8,32.2410,77.1900,premium,Log Huts Area,90
H055,Colaba Harbour Stay,Mumbai,Maharashtra,3400,budget,4.2,18.9222,72.8350,low,Colaba,79
H056,Marine Drive Residency,Mumbai,Maharashtra,5200,standard,4.4,18.9432,72.8242,moderate,Marine Drive,86
H057,Gateway Boutique Suites,Mumbai,Maharashtra,6700,boutique,4.5,18.9224,72.8349,high,Gateway of India,88
H058,Juhu Beach Resort,Mumbai,Maharashtra,6100,resort,4.4,19.0993,72.8269,high,Juhu,84
H059,Bandra Bay Hotel,Mumbai,Maharashtra,4800,standard,4.3,19.0418,72.8173,moderate,Bandra,78
H060,Connex Business Hotel Mumbai,Mumbai,Maharashtra,3900,standard,4.2,18.9405,72.8359,moderate,CST District,74
H061,Siddhivinayak Family Stay,Mumbai,Maharashtra,3600,budget,4.1,19.0179,72.8303,low,Prabhadevi,71
H062,The Queen's Necklace Grand,Mumbai,Maharashtra,9400,premium,4.7,18.9434,72.8244,high,Marine Drive,91
H063,Imperial Arabian Sea Palace,Mumbai,Maharashtra,12000,luxury,4.8,18.9230,72.8352,premium,Colaba Waterfront,93
H064,Ghat View Guest House,Varanasi,Uttar Pradesh,1900,budget,4.1,25.3068,83.0111,low,Dashashwamedh Ghat,78
H065,Kashi Temple Stay,Varanasi,Uttar Pradesh,2800,standard,4.3,25.3113,83.0110,low,Kashi Vishwanath Corridor,82
H066,Assi Riverside Retreat,Varanasi,Uttar Pradesh,4200,boutique,4.5,25.2873,83.0057,moderate,Assi Ghat,85
H067,Sarnath Heritage Hotel,Varanasi,Uttar Pradesh,3900,standard,4.3,25.3815,83.0221,moderate,Sarnath,74
H068,Banaras Courtyard Haveli,Varanasi,Uttar Pradesh,4700,boutique,4.4,25.3070,83.0100,moderate,Old City,80
H069,Ganga Aarti Residency,Varanasi,Uttar Pradesh,5300,premium,4.5,25.3065,83.0112,high,Ghat Belt,87
H070,BHU Garden Inn,Varanasi,Uttar Pradesh,3500,standard,4.2,25.2681,82.9917,moderate,BHU Area,71
H071,Ramnagar Fort View Resort,Varanasi,Uttar Pradesh,6200,resort,4.4,25.2711,83.0234,high,Ramnagar,76
H072,Royal Banaras Palace Hotel,Varanasi,Uttar Pradesh,8900,luxury,4.7,25.3080,83.0105,premium,Central Ghat Zone,90
H073,Fort Kochi Seaside Stay,Kochi,Kerala,2600,budget,4.2,9.9668,76.2386,low,Fort Kochi,77
H074,Chinese Nets View Hotel,Kochi,Kerala,3400,standard,4.3,9.9665,76.2406,moderate,Fort Kochi Waterfront,81
H075,Jew Town Heritage House,Kochi,Kerala,4100,boutique,4.4,9.9573,76.2593,moderate,Jew Town,79
H076,Mattancherry Palace Inn,Kochi,Kerala,3600,standard,4.2,9.9586,76.2598,moderate,Mattancherry,73
H077,Marine Drive Business Hotel,Kochi,Kerala,4800,standard,4.4,9.9820,76.2754,moderate,Marine Drive,84
H078,Cherai Beach Resort,Kochi,Kerala,5900,resort,4.5,10.1432,76.1785,high,Cherai,82
H079,Folklore Boutique Stay,Kochi,Kerala,4500,boutique,4.4,9.9320,76.2985,moderate,Thevara,75
H080,Backwater Crown Kochi,Kochi,Kerala,7200,premium,4.6,9.9810,76.2760,high,MG Road Waterfront,87
H081,Malabar Grand Palace,Kochi,Kerala,9800,luxury,4.8,9.9672,76.2410,premium,Fort Kochi Premium Zone,89
H082,Taj View Budget Inn,Agra,Uttar Pradesh,2100,budget,4.1,27.1755,78.0424,low,Taj Ganj,77
H083,Agra Fort Residency,Agra,Uttar Pradesh,3300,standard,4.3,27.1799,78.0215,moderate,Agra Fort Area,80
H084,Mehtab Garden Stay,Agra,Uttar Pradesh,3900,boutique,4.4,27.1801,78.0420,moderate,Mehtab Bagh Side,76
H085,Fatehpur Circuit Hotel,Agra,Uttar Pradesh,4600,standard,4.2,27.0949,77.6682,moderate,Fatehpur Sikri Road,71
